epoch,step,metric_type,value,timestamp,batch_size,learning_rate
2,21,loss,4.5335,2026-06-20T17:38:38.170000,32,0.0008100000000000001
2,21,accuracy,0.66,2026-06-20T17:38:38.170034,32,0.0008100000000000001
2,31,loss,4.5435,2026-06-20T17:38:38.170053,32,0.0008100000000000001
2,31,accuracy,0.66,2026-06-20T17:38:38.170069,32,0.0008100000000000001
2,41,loss,4.5535000000000005,2026-06-20T17:38:38.170095,32,0.0008100000000000001
2,41,accuracy,0.66,2026-06-20T17:38:38.170116,32,0.0008100000000000001
2,51,loss,4.5635,2026-06-20T17:38:38.170132,32,0.0008100000000000001
2,51,accuracy,0.66,2026-06-20T17:38:38.170147,32,0.0008100000000000001
2,61,loss,4.5735,2026-06-20T17:38:38.170184,32,0.0008100000000000001
2,61,accuracy,0.66,2026-06-20T17:38:38.170244,32,0.0008100000000000001
2,71,loss,4.5835,2026-06-20T17:38:38.170266,32,0.0008100000000000001
2,71,accuracy,0.66,2026-06-20T17:38:38.170293,32,0.0008100000000000001
2,81,loss,4.593500000000001,2026-06-20T17:38:38.170322,32,0.0008100000000000001
2,81,accuracy,0.66,2026-06-20T17:38:38.170346,32,0.0008100000000000001
2,91,loss,4.6035,2026-06-20T17:38:38.170386,32,0.0008100000000000001
2,91,accuracy,0.66,2026-06-20T17:38:38.170408,32,0.0008100000000000001
2,0,train_loss,4.5125,2026-06-20T17:38:38.170431,32,0.001
2,0,val_loss,4.963750000000001,2026-06-20T17:38:38.170448,32,0.001
2,0,train_accuracy,0.66,2026-06-20T17:38:38.170467,32,0.001
2,0,val_accuracy,0.64,2026-06-20T17:38:38.170518,32,0.001
3,1,loss,4.287875,2026-06-20T17:38:38.171722,32,0.0007290000000000002
3,1,accuracy,0.74,2026-06-20T17:38:38.171761,32,0.0007290000000000002
3,11,loss,4.2978749999999994,2026-06-20T17:38:38.171842,32,0.0007290000000000002
3,11,accuracy,0.74,2026-06-20T17:38:38.171874,32,0.0007290000000000002
3,21,loss,4.307874999999999,2026-06-20T17:38:38.171926,32,0.0007290000000000002
3,21,accuracy,0.74,2026-06-20T17:38:38.171988,32,0.0007290000000000002
3,31,loss,4.317874999999999,2026-06-20T17:38:38.172025,32,0.0007290000000000002
3,31,accuracy,0.74,2026-06-20T17:38:38.172062,32,0.0007290000000000002
3,41,loss,4.327875,2026-06-20T17:38:38.172109,32,0.0007290000000000002
3,41,accuracy,0.74,2026-06-20T17:38:38.172163,32,0.0007290000000000002
3,51,loss,4.3378749999999995,2026-06-20T17:38:38.172191,32,0.0007290000000000002
3,51,accuracy,0.74,2026-06-20T17:38:38.172219,32,0.0007290000000000002
3,61,loss,4.347874999999999,2026-06-20T17:38:38.172242,32,0.0007290000000000002
3,61,accuracy,0.74,2026-06-20T17:38:38.172271,32,0.0007290000000000002
3,71,loss,4.357874999999999,2026-06-20T17:38:38.172289,32,0.0007290000000000002
3,71,accuracy,0.74,2026-06-20T17:38:38.172318,32,0.0007290000000000002
3,81,loss,4.367875,2026-06-20T17:38:38.172372,32,0.0007290000000000002
3,81,accuracy,0.74,2026-06-20T17:38:38.172392,32,0.0007290000000000002
3,91,loss,4.3778749999999995,2026-06-20T17:38:38.172409,32,0.0007290000000000002
3,91,accuracy,0.74,2026-06-20T17:38:38.172431,32,0.0007290000000000002
3,0,train_loss,4.286874999999999,2026-06-20T17:38:38.172471,32,0.001
3,0,val_loss,4.7155625,2026-06-20T17:38:38.172506,32,0.001
3,0,train_accuracy,0.74,2026-06-20T17:38:38.172523,32,0.001
3,0,val_accuracy,0.72,2026-06-20T17:38:38.172543,32,0.001
4,1,loss,4.073531249999999,2026-06-20T17:38:38.172568,32,0.0006561000000000001
4,1,accuracy,0.8200000000000001,2026-06-20T17:38:38.172605,32,0.0006561000000000001
4,11,loss,4.083531249999999,2026-06-20T17:38:38.172631,32,0.0006561000000000001
4,11,accuracy,0.8200000000000001,2026-06-20T17:38:38.172646,32,0.0006561000000000001
4,21,loss,4.093531249999999,2026-06-20T17:38:38.172662,32,0.0006561000000000001
4,21,accuracy,0.8200000000000001,2026-06-20T17:38:38.172693,32,0.0006561000000000001
4,31,loss,4.103531249999999,2026-06-20T17:38:38.172726,32,0.0006561000000000001
4,31,accuracy,0.8200000000000001,2026-06-20T17:38:38.172757,32,0.0006561000000000001
4,41,loss,4.113531249999999,2026-06-20T17:38:38.172810,32,0.0006561000000000001
4,41,accuracy,0.8200000000000001,2026-06-20T17:38:38.172839,32,0.0006561000000000001
4,51,loss,4.123531249999999,2026-06-20T17:38:38.172875,32,0.0006561000000000001
4,51,accuracy,0.8200000000000001,2026-06-20T17:38:38.172895,32,0.0006561000000000001
4,61,loss,4.133531249999999,2026-06-20T17:38:38.172917,32,0.0006561000000000001
4,61,accuracy,0.8200000000000001,2026-06-20T17:38:38.172941,32,0.0006561000000000001
4,71,loss,4.143531249999999,2026-06-20T17:38:38.172968,32,0.0006561000000000001
4,71,accuracy,0.8200000000000001,2026-06-20T17:38:38.172996,32,0.0006561000000000001
4,81,loss,4.1535312499999995,2026-06-20T17:38:38.173021,32,0.0006561000000000001
4,81,accuracy,0.8200000000000001,2026-06-20T17:38:38.173044,32,0.0006561000000000001
4,91,loss,4.163531249999999,2026-06-20T17:38:38.173088,32,0.0006561000000000001
4,91,accuracy,0.8200000000000001,2026-06-20T17:38:38.173126,32,0.0006561000000000001
4,0,train_loss,4.072531249999999,2026-06-20T17:38:38.173278,32,0.001
4,0,val_loss,4.4797843749999995,2026-06-20T17:38:38.173367,32,0.001
4,0,train_accuracy,0.8200000000000001,2026-06-20T17:38:38.173413,32,0.001
4,0,val_accuracy,0.8,2026-06-20T17:38:38.173482,32,0.001
5,1,loss,3.8699046874999987,2026-06-20T17:38:38.176486,32,0.00059049
5,1,accuracy,0.9,2026-06-20T17:38:38.176596,32,0.00059049
5,11,loss,3.879904687499999,2026-06-20T17:38:38.176661,32,0.00059049
5,11,accuracy,0.9,2026-06-20T17:38:38.176697,32,0.00059049
5,21,loss,3.8899046874999987,2026-06-20T17:38:38.176761,32,0.00059049
5,21,accuracy,0.9,2026-06-20T17:38:38.176913,32,0.00059049
5,31,loss,3.899904687499999,2026-06-20T17:38:38.176952,32,0.00059049
5,31,accuracy,0.9,2026-06-20T17:38:38.177006,32,0.00059049
5,41,loss,3.9099046874999988,2026-06-20T17:38:38.177036,32,0.00059049
5,41,accuracy,0.9,2026-06-20T17:38:38.177088,32,0.00059049
5,51,loss,3.919904687499999,2026-06-20T17:38:38.177245,32,0.00059049
5,51,accuracy,0.9,2026-06-20T17:38:38.177304,32,0.00059049
5,61,loss,3.9299046874999988,2026-06-20T17:38:38.177331,32,0.00059049
5,61,accuracy,0.9,2026-06-20T17:38:38.177377,32,0.00059049
5,71,loss,3.939904687499999,2026-06-20T17:38:38.177413,32,0.00059049
5,71,accuracy,0.9,2026-06-20T17:38:38.177454,32,0.00059049
5,81,loss,3.949904687499999,2026-06-20T17:38:38.177487,32,0.00059049
5,81,accuracy,0.9,2026-06-20T17:38:38.177527,32,0.00059049
5,91,loss,3.959904687499999,2026-06-20T17:38:38.177562,32,0.00059049
5,91,accuracy,0.9,2026-06-20T17:38:38.177686,32,0.00059049
5,0,train_loss,3.868904687499999,2026-06-20T17:38:38.177732,32,0.001
5,0,val_loss,4.255795156249999,2026-06-20T17:38:38.177788,32,0.001
5,0,train_accuracy,0.9,2026-06-20T17:38:38.177856,32,0.001
5,0,val_accuracy,0.88,2026-06-20T17:38:38.177883,32,0.001
